"keyword","title","link","description","pub_date","cves"
"ALL","DSA-5977-1 aide - security update","https://lists.debian.org/debian-security-announce/2025/msg00141.html","<a href='https://security-tracker.debian.org/tracker/DSA-5977-1'>https://security-tracker.debian.org/tracker/DSA-5977-1</a>","2025-08-14","N/A"
"ALL","DSA-5976-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00140.html","<a href='https://security-tracker.debian.org/tracker/DSA-5976-1'>https://security-tracker.debian.org/tracker/DSA-5976-1</a>","2025-08-14","N/A"
"ALL","DSA-5975-1 linux - security update","https://lists.debian.org/debian-security-announce/2025/msg00139.html","<a href='https://security-tracker.debian.org/tracker/DSA-5975-1'>https://security-tracker.debian.org/tracker/DSA-5975-1</a>","2025-08-13","N/A"
"ALL","DSA-5974-1 pgpool2 - security update","https://lists.debian.org/debian-security-announce/2025/msg00138.html","<a href='https://security-tracker.debian.org/tracker/DSA-5974-1'>https://security-tracker.debian.org/tracker/DSA-5974-1</a>","2025-08-13","N/A"
"ALL","DSA-5973-1 linux - security update","https://lists.debian.org/debian-security-announce/2025/msg00137.html","<a href='https://security-tracker.debian.org/tracker/DSA-5973-1'>https://security-tracker.debian.org/tracker/DSA-5973-1</a>","2025-08-12","N/A"
"ALL","DSA-5972-1 openjdk-17 - security update","https://lists.debian.org/debian-security-announce/2025/msg00136.html","<a href='https://security-tracker.debian.org/tracker/DSA-5972-1'>https://security-tracker.debian.org/tracker/DSA-5972-1</a>","2025-08-12","N/A"
"ALL","DSA-5971-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00135.html","<a href='https://security-tracker.debian.org/tracker/DSA-5971-1'>https://security-tracker.debian.org/tracker/DSA-5971-1</a>","2025-08-06","N/A"
"ALL","DSA-5970-1 sope - security update","https://lists.debian.org/debian-security-announce/2025/msg00134.html","<a href='https://security-tracker.debian.org/tracker/DSA-5970-1'>https://security-tracker.debian.org/tracker/DSA-5970-1</a>","2025-07-31","N/A"
"ALL","DSA-5969-1 redis - security update","https://lists.debian.org/debian-security-announce/2025/msg00133.html","<a href='https://security-tracker.debian.org/tracker/DSA-5969-1'>https://security-tracker.debian.org/tracker/DSA-5969-1</a>","2025-07-31","N/A"
"ALL","DSA-5968-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00132.html","<a href='https://security-tracker.debian.org/tracker/DSA-5968-1'>https://security-tracker.debian.org/tracker/DSA-5968-1</a>","2025-07-30","N/A"
"ALL","DSA-5967-1 php8.2 - security update","https://lists.debian.org/debian-security-announce/2025/msg00131.html","<a href='https://security-tracker.debian.org/tracker/DSA-5967-1'>https://security-tracker.debian.org/tracker/DSA-5967-1</a>","2025-07-28","N/A"
"ALL","DSA-5966-1 thunderbird - security update","https://lists.debian.org/debian-security-announce/2025/msg00130.html","<a href='https://security-tracker.debian.org/tracker/DSA-5966-1'>https://security-tracker.debian.org/tracker/DSA-5966-1</a>","2025-07-27","N/A"
"ALL","DSA-5965-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00129.html","<a href='https://security-tracker.debian.org/tracker/DSA-5965-1'>https://security-tracker.debian.org/tracker/DSA-5965-1</a>","2025-07-24","N/A"
"ALL","DSA-5964-1 firefox-esr - security update","https://lists.debian.org/debian-security-announce/2025/msg00128.html","<a href='https://security-tracker.debian.org/tracker/DSA-5964-1'>https://security-tracker.debian.org/tracker/DSA-5964-1</a>","2025-07-23","N/A"
"ALL","DSA-5963-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00127.html","<a href='https://security-tracker.debian.org/tracker/DSA-5963-1'>https://security-tracker.debian.org/tracker/DSA-5963-1</a>","2025-07-17","N/A"
"ALL","DSA-5962-1 gnutls28 - security update","https://lists.debian.org/debian-security-announce/2025/msg00126.html","<a href='https://security-tracker.debian.org/tracker/DSA-5962-1'>https://security-tracker.debian.org/tracker/DSA-5962-1</a>","2025-07-16","N/A"
"ALL","DSA-5961-1 slurm-wlm - security update","https://lists.debian.org/debian-security-announce/2025/msg00125.html","<a href='https://security-tracker.debian.org/tracker/DSA-5961-1'>https://security-tracker.debian.org/tracker/DSA-5961-1</a>","2025-07-08","N/A"
"ALL","DSA-5960-1 djvulibre - security update","https://lists.debian.org/debian-security-announce/2025/msg00124.html","<a href='https://security-tracker.debian.org/tracker/DSA-5960-1'>https://security-tracker.debian.org/tracker/DSA-5960-1</a>","2025-07-07","N/A"
"ALL","DSA-5959-1 thunderbird - security update","https://lists.debian.org/debian-security-announce/2025/msg00123.html","<a href='https://security-tracker.debian.org/tracker/DSA-5959-1'>https://security-tracker.debian.org/tracker/DSA-5959-1</a>","2025-07-06","N/A"
"ALL","DSA-5958-1 jpeg-xl - security update","https://lists.debian.org/debian-security-announce/2025/msg00122.html","<a href='https://security-tracker.debian.org/tracker/DSA-5958-1'>https://security-tracker.debian.org/tracker/DSA-5958-1</a>","2025-07-04","N/A"
"ALL","DSA-5957-1 mediawiki - security update","https://lists.debian.org/debian-security-announce/2025/msg00121.html","<a href='https://security-tracker.debian.org/tracker/DSA-5957-1'>https://security-tracker.debian.org/tracker/DSA-5957-1</a>","2025-07-03","N/A"
"ALL","DSA-5956-1 ring - security update","https://lists.debian.org/debian-security-announce/2025/msg00120.html","<a href='https://security-tracker.debian.org/tracker/DSA-5956-1'>https://security-tracker.debian.org/tracker/DSA-5956-1</a>","2025-07-03","N/A"
"ALL","DSA-5955-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00119.html","<a href='https://security-tracker.debian.org/tracker/DSA-5955-1'>https://security-tracker.debian.org/tracker/DSA-5955-1</a>","2025-07-02","N/A"
"ALL","DSA-5954-1 sudo - security update","https://lists.debian.org/debian-security-announce/2025/msg00118.html","<a href='https://security-tracker.debian.org/tracker/DSA-5954-1'>https://security-tracker.debian.org/tracker/DSA-5954-1</a>","2025-06-30","N/A"
"ALL","DSA-5953-1 catdoc - security update","https://lists.debian.org/debian-security-announce/2025/msg00117.html","<a href='https://security-tracker.debian.org/tracker/DSA-5953-1'>https://security-tracker.debian.org/tracker/DSA-5953-1</a>","2025-06-29","N/A"
"ALL","DSA-5952-1 chromium - security update","https://lists.debian.org/debian-security-announce/2025/msg00116.html","<a href='https://security-tracker.debian.org/tracker/DSA-5952-1'>https://security-tracker.debian.org/tracker/DSA-5952-1</a>","2025-06-27","N/A"
"ALL","DSA-5951-1 icu - security update","https://lists.debian.org/debian-security-announce/2025/msg00115.html","<a href='https://security-tracker.debian.org/tracker/DSA-5951-1'>https://security-tracker.debian.org/tracker/DSA-5951-1</a>","2025-06-26","N/A"
"ALL","DSA-5950-1 firefox-esr - security update","https://lists.debian.org/debian-security-announce/2025/msg00114.html","<a href='https://security-tracker.debian.org/tracker/DSA-5950-1'>https://security-tracker.debian.org/tracker/DSA-5950-1</a>","2025-06-25","N/A"
"ALL","DSA-5949-1 libxml2 - security update","https://lists.debian.org/debian-security-announce/2025/msg00113.html","<a href='https://security-tracker.debian.org/tracker/DSA-5949-1'>https://security-tracker.debian.org/tracker/DSA-5949-1</a>","2025-06-26","N/A"
