"keyword","vuln_id","cve","title","description","severity","cvss_score","published","cve_link","software_name","software_slug"
"elementor","005fc05c-6d82-49ca-b114-a3e64a3a572f","CVE-2024-6495","Premium Addons for Elementor <= 4.10.36 - Authenticated (Contributor+) Stored DOM-Based Cross-Site Scripting via Animated Text Widget","The Premium Addons for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's Animated Text widget in all versions up to  and including  4.10.36 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-07-11 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-6495","Premium Addons for Elementor","premium-addons-for-elementor"
"elementor","009b9b0d-6cbd-402e-bc81-24661ff16b9d","CVE-2025-2108","140+ Widgets | Xpro Addons For Elementor – FREE <= 1.4.7.1 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'Site Title' widget","The 140+ Widgets | Xpro Addons For Elementor – FREE plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the ‘Site Title’ widget's 'title_tag' and 'html_tag' parameters in all versions up to  and including  1.4.6.8 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2025-03-19 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-2108","140+ Widgets | Xpro Addons For Elementor – FREE","xpro-elementor-addons"
"elementor","00b278af-6ce6-4e70-a83a-a1b035542cd4","CVE-2024-10091","ElementsKit Elementor addons <= 3.2.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via Image Comparison Widget","The ElementsKit Elementor addons plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the Image Comparison Widget in all versions up to  and including  3.2.9 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-10-25 14:08:18","https://www.cve.org/CVERecord?id=CVE-2024-10091","ElementsKit Elementor Addons and Templates","elementskit-lite"
"elementor","00d8124a-3bbc-42a0-afe1-e8e2dd9123fd","CVE-2025-24743","RomethemeKit For Elementor <= 1.5.2 - Missing Authorization","The RomethemeKit For Elementor plugin for WordPress is vulnerable to unauthorized access due to a missing capability check on a function in all versions up to  and including  1.5.2. This makes it possible for authenticated attackers  with Subscriber-level access and above  to perform an unauthorized action.","Medium","4.3","2025-01-24 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-24743","RTMKit Addons for Elementor","rometheme-for-elementor"
"elementor","014392ee-4b24-4b81-954e-fc87727436ab","CVE-2025-24568","Starter Templates <= 4.4.9 - Cross-Site Request Forgery","The Starter Templates plugin for WordPress is vulnerable to Cross-Site Request Forgery in versions up to  and including  4.4.9. This is due to missing or incorrect nonce validation on a function. This makes it possible for unauthenticated attackers to perform an unauthorized action via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.","Medium","4.3","2025-01-24 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-24568","Starter Templates – AI-Powered Templates for Elementor & Gutenberg","astra-sites"
"elementor","0149ae49-5d40-4431-9612-04182afce2ec","CVE-2024-10784","Unlimited Elements For Elementor (Free Widgets  Addons  Templates) <= 1.5.126 - Authenticated (Contributor+) Stored Cross-Site Scripting","The Unlimited Elements For Elementor (Free Widgets  Addons  Templates) plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the ‘Tile Gallery' widget in all versions up to  and including  1.5.126 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-12-11 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-10784","Unlimited Elements For Elementor","unlimited-elements-for-elementor"
"elementor","014f1aae-10a0-4bc8-b176-dbdad94a6ad8","CVE-2022-0320","Essential Addons for Elementor  <= 5.0.4 - Local File Inclusion","The Essential Addons for Elementor WordPress plugin before 5.0.5 does not validate and sanitise some template data before it them in include statements  which could allow unauthenticated attackers to perform Local File Inclusion attack and read arbitrary files on the server  this could also lead to RCE via user uploaded files or other LFI to RCE techniques.","Critical","9.8","2022-01-21 00:00:00","https://www.cve.org/CVERecord?id=CVE-2022-0320","Essential Addons for Elementor – Popular Elementor Templates & Widgets","essential-addons-for-elementor-lite"
"elementor","01c8d909-ecfd-4443-9bef-e1b541e74c2b","CVE-2025-30863","Integration for Google Sheets and Contact Form 7  WPForms  Elementor  Ninja Forms <= 1.0.9 - Cross-Site Request Forgery","The Integration for Google Sheets and Contact Form 7  WPForms  Elementor  Ninja Forms plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to  and including  1.0.9. This is due to missing or incorrect nonce validation on a function. This makes it possible for unauthenticated attackers to perform an unauthorized action granted they can trick a site administrator into performing an action such as clicking on a link.","Medium","4.3","2025-03-27 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-30863","Integration for Google Sheets and Contact Form 7  WPForms  Elementor  Ninja Forms","integration-for-contact-form-7-and-google-sheets"
"elementor","01ccc7b8-3dd4-4b83-bd53-687f7479b214","CVE-2024-12328","MAS Elementor <= 1.1.7 - Authenticated (Author+) Stored Cross-Site Scripting via SVG","The MAS Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via SVG File uploads in all versions up to  and including  1.1.7 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Author-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses the SVG file.","Medium","6.4","2025-01-07 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-12328","MAS Elementor","mas-addons-for-elementor"
"elementor","024af9de-d4c7-43ec-a602-c45ded3ddad3","CVE-2025-4774","Premium Addons for Elementor <= 4.11.8 - Authenticated (Contributor+) Stored Cross-Site Scripting via Countdown Widget","The Premium Addons for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the data-countdown attribute of Countdown widget in all versions up to  and including  4.11.8 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2025-06-09 22:02:57","https://www.cve.org/CVERecord?id=CVE-2025-4774","Premium Addons for Elementor","premium-addons-for-elementor"
