cve,title,severity,published,cve_link
CVE-2024-6495,Premium Addons for Elementor <= 4.10.36 - Authenticated (Contributor+) Stored DOM-Based Cross-Site Scripting via Animated Text Widget,Medium,2024-07-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-6495
CVE-2025-2108,140+ Widgets | Xpro Addons For Elementor – FREE <= 1.4.7.1 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'Site Title' widget,Medium,2025-03-19 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-2108
CVE-2024-10091,ElementsKit Elementor addons <= 3.2.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via Image Comparison Widget,Medium,2024-10-25 14:08:18,https://www.cve.org/CVERecord?id=CVE-2024-10091
CVE-2025-24743,RomethemeKit For Elementor <= 1.5.2 - Missing Authorization,Medium,2025-01-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-24743
CVE-2025-24568,Starter Templates <= 4.4.9 - Cross-Site Request Forgery,Medium,2025-01-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-24568
CVE-2024-10784,"Unlimited Elements For Elementor (Free Widgets, Addons, Templates) <= 1.5.126 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-12-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-10784
CVE-2022-0320,Essential Addons for Elementor  <= 5.0.4 - Local File Inclusion,Critical,2022-01-21 00:00:00,https://www.cve.org/CVERecord?id=CVE-2022-0320
CVE-2025-30863,"Integration for Google Sheets and Contact Form 7, WPForms, Elementor, Ninja Forms <= 1.0.9 - Cross-Site Request Forgery",Medium,2025-03-27 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-30863
CVE-2024-12328,MAS Elementor <= 1.1.7 - Authenticated (Author+) Stored Cross-Site Scripting via SVG,Medium,2025-01-07 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-12328
CVE-2025-4774,Premium Addons for Elementor <= 4.11.8 - Authenticated (Contributor+) Stored Cross-Site Scripting via Countdown Widget,Medium,2025-06-09 22:02:57,https://www.cve.org/CVERecord?id=CVE-2025-4774
CVE-2025-25101,Munk Sites <= 1.0.7 - Cross-Site Request Forgery to Arbitrary Plugin Installation,Medium,2025-02-03 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-25101
CVE-2025-52729,Diza <= 1.3.9 - Unauthenticated Local File Inclusion,High,2025-07-01 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-52729
CVE-2024-34575,DethemeKit For Elementor <= 2.1.2 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-05-14 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-34575
CVE-2024-0977,"Timeline Widget For Elementor (Elementor Timeline, Vertical & Horizontal Timeline) <= 1.5.3 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-02-06 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-0977
CVE-2024-1055,"PowerPack Addons for Elementor (Free Widgets, Extensions and Templates) <= 2.7.14 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-02-06 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1055
CVE-2024-54253,140+ Widgets | Xpro Addons For Elementor – FREE <= 1.4.6.5 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-12-05 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-54253
CVE-2024-13865,S3Player – WooCommerce & Elementor Integration <= 4.2.1 - Reflected Cross-Site Scripting,Medium,2024-12-26 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-13865
CVE-2024-3989,HT Mega – Absolute Addons For Elementor <= 2.5.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via Gallery Justify,Medium,2024-05-07 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-3989
CVE-2025-32158,aThemes Addons for Elementor <= 1.0.16 - Authenticated (Contributor+) Local File Inclusion,High,2025-04-04 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-32158
CVE-2022-1442,Metform Elementor Contact Form Builder <= 2.1.3 - Sensitive Information Disclosure,High,2022-04-23 00:00:00,https://www.cve.org/CVERecord?id=CVE-2022-1442
CVE-2024-38674,SKT Addons for Elementor <= 3.1 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-07-10 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-38674
CVE-2024-0448,Elementor Addons by Livemesh <= 8.3.1 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-01-25 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-0448
CVE-2024-9376,"Kata Plus – Addons for Elementor – Widgets, Extensions and Templates <= 1.4.7 - Authenticated (Author+) Stored Cross-Site Scripting via SVG File Upload",Medium,2024-10-28 20:39:05,https://www.cve.org/CVERecord?id=CVE-2024-9376
CVE-2024-2129,WPBITS Addons For Elementor Page Builder <= 1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-03-19 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2129
CVE-2024-29936,Image Hover Effects – Elementor Addon <= 1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'eihe_align',Medium,2024-03-25 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-29936
CVE-2023-0084,Metform Elementor Contact Form Builder <= 3.1.2 - Unauthenticated Stored Cross-Site Scripting,High,2023-02-02 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-0084
CVE-2024-4364,Qi Addons For Elementor <= 1.7.2 - Authenticated (Contributor+) Stored Cross-Site Scripting via Button Widget,Medium,2024-06-05 14:59:22,https://www.cve.org/CVERecord?id=CVE-2024-4364
CVE-2024-29925,"Post Grid, Slider & Carousel Ultimate <= 1.6.6 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-03-25 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-29925
CVE-2024-5345,Responsive Owl Carousel for Elementor <= 1.2.0 - Local File Inclusion,High,2024-05-30 14:04:20,https://www.cve.org/CVERecord?id=CVE-2024-5345
CVE-2024-10778,BuddyPress Builder for Elementor – BuddyBuilder <= 1.7.4 - Authenticated (Contributor+) Post Disclosure,Medium,2024-11-12 13:22:37,https://www.cve.org/CVERecord?id=CVE-2024-10778
CVE-2024-4486,Awesome Contact Form7 for Elementor <= 2.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via AEP Contact Form 7 Widget,Medium,2024-05-22 12:55:26,https://www.cve.org/CVERecord?id=CVE-2024-4486
CVE-2024-49676,Custom Icons for Elementor <= 0.3.3 - Authenticated (Admin+) Arbitrary File Upload,High,2024-10-21 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-49676
CVE-2023-6632,Happy Addons for Elementor <= 3.9.1.1 - Reflected Cross-Site Scripting,Medium,2024-01-05 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-6632
CVE-2023-6632,Happy Addons for Elementor <= 3.9.1.1 - Reflected Cross-Site Scripting,Medium,2024-01-05 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-6632
CVE-2025-3103,CLEVER - HTML5 Radio Player With History - Shoutcast and Icecast - Elementor Widget Addon <= 2.4 - Unauthenticated Arbitrary File Read,High,2025-04-18 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-3103
,Restaurant & Cafe Addon for Elementor <= 1.5.2 - Missing Authorization,Medium,2023-11-14 00:00:00,
CVE-2024-51870,Ultimate Flipbox Addon for Elementor  1.0.4 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-08 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51870
CVE-2024-2250,130+ Widgets | Best Addons For Elementor – FREE <= 1.4.2 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-03-28 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2250
