"Tech","Date","CVE","Description"
"General","2025-08-15T11:15:28.720","CVE-2025-26709","There is an unauthorized access vulnerability in ZTE F50. Due to improper permission control of the Web module interface  an unauthorized attacker can obtain sensitive information through the interface"
"General","2025-08-15T11:15:29.780","CVE-2025-9028","A vulnerability was found in code-projects Online Medicine Guide 1.0. This issue affects some unknown processing of the file /adphar.php. The manipulation of the argument phuname leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T11:15:29.993","CVE-2025-9046","A vulnerability was identified in Tenda AC20 16.03.08.12. This issue affects the function sub_46A2AC of the file /goform/setMacFilterCfg. The manipulation of the argument deviceList leads to stack-based buffer overflow. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T11:15:30.213","CVE-2025-9047","A vulnerability has been found in projectworlds Visitor Management System 1.0. Affected is an unknown function of the file /visitor_out.php. The manipulation of the argument rid leads to sql injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T12:15:25.203","CVE-2025-1929","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Risk Yazılım Teknolojileri Ltd. Şti. Reel Sektör Hazine ve Risk Yönetimi Yazılımı allows SQL Injection  CAPEC - 7 - Blind SQL Injection.This issue affects Reel Sektör Hazine ve Risk Yönetimi Yazılımı: through 1.0.0.4."
"General","2025-08-15T12:15:25.460","CVE-2025-54473","An authenticated RCE vulnerability in Phoca Commander component 1.0.0-4.0.0 and 5.0.0-5.0.1 for Joomla was discovered. The issue allows code execution via the unzip feature."
"General","2025-08-15T12:15:25.643","CVE-2025-54474","A SQLi vulnerability in DJ-Classifieds component 3.9.2-3.10.1 for Joomla was discovered. The issue allows privileged users to execute arbitrary SQL commands."
"General","2025-08-15T12:15:25.803","CVE-2025-54475","A SQL injection vulnerability in the JS Jobs plugin versions 1.3.2-1.4.4 for Joomla allows low-privilege users to execute arbitrary SQL commands."
"General","2025-08-15T12:15:26.800","CVE-2025-9050","A vulnerability was found in projectworlds Travel Management System 1.0. Affected by this vulnerability is an unknown functionality of the file /addcategory.php. The manipulation of the argument t1 leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T12:15:27.013","CVE-2025-9051","A vulnerability was determined in projectworlds Travel Management System 1.0. Affected by this issue is some unknown functionality of the file /updatecategory.php. The manipulation of the argument t1 leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T13:15:35.730","CVE-2025-9052","A vulnerability was identified in projectworlds Travel Management System 1.0. This affects an unknown part of the file /updatepackage.php. The manipulation of the argument s1 leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T13:15:35.947","CVE-2025-9053","A vulnerability has been found in projectworlds Travel Management System 1.0. This vulnerability affects unknown code of the file /updatesubcategory.php. The manipulation of the argument t1/s1 leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used."
"General","2025-08-15T15:15:29.473","CVE-2024-12573","Rejected reason: ** REJECT ** DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2025-24752 Reason: This candidate is a reservation duplicate of CVE-2025-24752. Notes: All CVE users should reference CVE-2025-24752 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage."
"General","2025-08-15T15:15:32.117","CVE-2025-24975","Firebird is a relational database. Prior to snapshot versions 4.0.6.3183  5.0.2.1610  and 6.0.0.609  Firebird is vulnerable if ExtConnPoolSize is not set equal to 0. If connections stored in ExtConnPool are not verified for presence and suitability of the CryptCallback interface is used when created versus what is available could result in a segfault in the server process. Encrypted databases  accessed by execute statement on external  may be accessed later by an attachment missing a key to that database. In a case when execute statement are chained  segfault may happen. Additionally  the segfault may affect unencrypted databases. This issue has been patched in snapshot versions 4.0.6.3183  5.0.2.1610  and 6.0.0.609 and point releases 4.0.6 and 5.0.2. A workaround for this issue involves setting ExtConnPoolSize equal to 0 in firebird.conf."
"General","2025-08-15T15:15:32.360","CVE-2025-54466","Improper Control of Generation of Code ('Code Injection') vulnerability leading to a possible RCE in Apache OFBiz scrum plugin.  This issue affects Apache OFBiz: before 24.09.02 only when the scrum plugin is used.  Even unauthenticated attackers can exploit this vulnerability.   Users are recommended to upgrade to version 24.09.02  which fixes the issue."
"General","2025-08-15T15:15:32.597","CVE-2025-54989","Firebird is a relational database. Prior to versions 3.0.13  4.0.6  and 5.0.3  there is an XDR message parsing NULL pointer dereference denial-of-service vulnerability in Firebird. This specific flaw exists within the parsing of xdr message from client. It leads to NULL pointer dereference and DoS. This issue has been patched in versions 3.0.13  4.0.6  and 5.0.3."
"General","2025-08-15T15:15:32.787","CVE-2025-55203","Plane is open-source project management software. Prior to version 0.28.0  a stored cross-site scripting (XSS) vulnerability exists in the description_html field of Plane. This flaw allows an attacker to inject malicious JavaScript code that is stored and later executed in other users’ browsers. The description_html field is not properly sanitized or escaped. An attacker can submit crafted JavaScript payloads that are saved in the application’s database. When another user views the affected content  the injected code executes in their browser  running in the application’s context and bypassing standard security protections. Successful exploitation can lead to session hijacking  theft of sensitive information  or forced redirection to malicious sites. The vulnerability can also be chained with CSRF attacks to perform unauthorized actions  or leveraged to distribute malware and exploit additional browser vulnerabilities. This issue has been patched in version 0.28.0."
"General","2025-08-15T15:15:32.973","CVE-2025-5046","A maliciously crafted DGN file  when linked or imported into Autodesk AutoCAD  can force an Out-of-Bounds Read vulnerability. A malicious actor can leverage this vulnerability to cause a crash  read sensitive data  or execute arbitrary code in the context of the current process."
"General","2025-08-15T15:15:33.153","CVE-2025-5047","A maliciously crafted DGN file  when parsed through Autodesk AutoCAD  can force an Uninitialized Variable vulnerability. A malicious actor can leverage this vulnerability to cause a crash  read sensitive data  or execute arbitrary code in the context of the current process."
"General","2025-08-15T15:15:33.327","CVE-2025-5048","A maliciously crafted DGN file  when linked or imported into Autodesk AutoCAD  can force a Memory Corruption vulnerability. A malicious actor can leverage this vulnerability to execute arbitrary code in the context of the current process."
"General","2025-08-15T16:15:29.563","CVE-2025-49432","Missing Authorization vulnerability in FWDesign Ultimate Video Player allows Exploiting Incorrectly Configured Access Control Security Levels. This issue affects Ultimate Video Player: from n/a through 10.1."
"General","2025-08-15T16:15:29.770","CVE-2025-49897","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in gopiplus Vertical scroll slideshow gallery v2 allows Blind SQL Injection. This issue affects Vertical scroll slideshow gallery v2: from n/a through 9.1."
"General","2025-08-15T16:15:29.957","CVE-2025-49898","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Xolluteon Dropshix allows DOM-Based XSS.This issue affects Dropshix: from n/a through 4.0.14."
"General","2025-08-15T16:15:30.133","CVE-2025-55207","Astro is a web framework for content-driven websites. Following CVE-2025-54793 there's still an Open Redirect vulnerability in a subset of Astro deployment scenarios prior to version 9.4.1. Astro 5.12.8 addressed CVE-2025-54793 where https://example.com//astro.build/press would redirect to the external origin //astro.build/press. However  with the Node deployment adapter in standalone mode and trailingSlash set to 'always' in the Astro configuration  https://example.com//astro.build/press still redirects to //astro.build/press. This affects any user who clicks on a specially crafted link pointing to the affected domain. Since the domain appears legitimate  victims may be tricked into trusting the redirected page  leading to possible credential theft  malware distribution  or other phishing-related attacks. This issue has been patched in version 9.4.1."
"General","2025-08-15T16:15:30.540","CVE-2025-8066","URL Redirection to Untrusted Site ('Open Redirect') vulnerability in Bunkerity Bunker Web on Linux allows Phishing.This issue affects Bunker Web: 1.6.2."
"General","2025-08-15T17:15:32.937","CVE-2025-7961","Improper Control of Generation of Code ('Code Injection') vulnerability in Wulkano KAP on MacOS allows TCC Bypass.This issue affects KAP: 3.6.0."
"General","2025-08-15T17:15:33.193","CVE-2025-8092","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Drupal COOKiES Consent Management allows Cross-Site Scripting (XSS).This issue affects COOKiES Consent Management: from 0.0.0 before 1.2.16."
"General","2025-08-15T17:15:33.350","CVE-2025-8361","Missing Authorization vulnerability in Drupal Config Pages allows Forceful Browsing.This issue affects Config Pages: from 0.0.0 before 2.18.0."
"General","2025-08-15T17:15:33.493","CVE-2025-8362","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Drupal GoogleTag Manager allows Cross-Site Scripting (XSS).This issue affects GoogleTag Manager: from 0.0.0 before 1.10.0."
"General","2025-08-15T17:15:33.753","CVE-2025-8675","Server-Side Request Forgery (SSRF) vulnerability in Drupal AI SEO Link Advisor allows Server Side Request Forgery.This issue affects AI SEO Link Advisor: from 0.0.0 before 1.0.6."
"General","2025-08-15T17:15:34.197","CVE-2025-8995","Authentication Bypass Using an Alternate Path or Channel vulnerability in Drupal Authenticator Login allows Authentication Bypass.This issue affects Authenticator Login: from 0.0.0 before 2.1.4."
"General","2025-08-15T17:15:34.403","CVE-2025-8996","Missing Authorization vulnerability in Drupal Layout Builder Advanced Permissions allows Forceful Browsing.This issue affects Layout Builder Advanced Permissions: from 0.0.0 before 2.2.0."
